,Borough,Neighborhood,Population
0,Bronx,Melrose,24913
1,Bronx,Mott Haven,52413
2,Bronx,Port Morris,3523
3,Bronx,Hunts Point,12281
4,Bronx,Longwood,26196
5,Bronx,Claremont,16863
6,Bronx,Morrisania,16863
7,Bronx,Highbridge,37727
8,Bronx,Fordham,43394
9,Bronx,Morris Heights,36779
10,Bronx,Mount Hope,24739
11,Bronx,University Heights,25702
12,Bronx,Bathgate,27378
13,Bronx,Belmont,27378
14,Bronx,East Tremont,43423
15,Bronx,West Farms,4700
16,Bronx,Bedford Park,37344
17,Bronx,Norwood,40494
18,Bronx,University Heights,25702
19,Bronx,Fieldston,3292
20,Bronx,Kingsbridge,10669
21,Bronx,Marble Hill,9481
22,Bronx,Riverdale,48049
23,Bronx,Spuyten Duyvil,10279
24,Bronx,Van Cortlandt Village,50100
25,Bronx,Bruckner,38557
26,Bronx,Castle Hill,38557
27,Bronx,Clason Point,9136
28,Bronx,Harding Park,9136
29,Bronx,Parkchester,40358
30,Bronx,Soundview,31825
31,Bronx,Unionport,38557
32,Bronx,Co-op City,43752
33,Bronx,Locust Point,1479
34,Bronx,Pelham Bay,11931
35,Bronx,Silver Beach,21009
36,Bronx,Throgs Neck,21009
37,Bronx,Pelham Gardens,15388
38,Bronx,Pelham Parkway,30073
39,Bronx,Baychester,63345
40,Bronx,Fish Bay,63345
41,Bronx,Olinville,61321
42,Bronx,Wakefield,29158
43,Bronx,Williamsbridge,61321
44,Bronx,Woodlawn,42483
45,Brooklyn,Greenpoint,34719
46,Brooklyn,Williamsburg,78700
47,Brooklyn,Brooklyn Heights,20256
48,Brooklyn,Clinton Hill,34791
49,Brooklyn,Dumbo,1139
50,Brooklyn,Fort Greene,28335
51,Brooklyn,Vinegar Hill,2671
52,Brooklyn,Bedford-Stuyvesant,157530
53,Brooklyn,Stuyvesant Heights,157530
54,Brooklyn,Bushwick,129239
55,Brooklyn,Carroll Gardens,12853
56,Brooklyn,Park Slope,67645
57,Brooklyn,Sunset Park,126000
58,Brooklyn,Windsor Terrace,20988
59,Brooklyn,Crown Heights,143000
60,Brooklyn,Prospect Heights,67645
61,Brooklyn,Crown Heights,143000
62,Brooklyn,Prospect Lefferts Gardens,99287
63,Brooklyn,Bay Ridge,79371
64,Brooklyn,Dyker Heights,42419
65,Brooklyn,Bath Beach,29931
66,Brooklyn,Bensonhurst,151705
67,Brooklyn,Gravesend,29436
68,Brooklyn,Borough Park,106357
69,Brooklyn,Midwood,52835
70,Brooklyn,Bensonhurst,151705
71,Brooklyn,Brighton Beach,35547
72,Brooklyn,Coney Island,24711
73,Brooklyn,Gravesend,29436
74,Brooklyn,Flatbush,105804
75,Brooklyn,Midwood,52835
76,Brooklyn,East Gravesend,29436
77,Brooklyn,Homecrest,44316
78,Brooklyn,Brownsville,58300
79,Brooklyn,East Flatbush,135619
80,Brooklyn,Erasmus,135619
81,Brooklyn,Farragut,135619
82,Brooklyn,Rugby,135619
83,Brooklyn,Bergen Beach,45231
84,Brooklyn,Canarsie,83693
85,Brooklyn,Flatlands,64762
86,Brooklyn,Georgetown,45231
87,Brooklyn,Marine Park,45231
88,Brooklyn,Mill Basin,45231
89,Brooklyn,Mill Island,45231
90,Manhattan,Battery Park City,9252
91,Manhattan,Financial District,57627
92,Manhattan,Tribeca,17362
93,Manhattan,Chinatown,47844
94,Manhattan,Greenwich Village,22785
95,Manhattan,Lower East Side,72957
96,Manhattan,SoHo,19573
97,Manhattan,Alphabet City,63347
98,Manhattan,Chinatown,47844
99,Manhattan,East Village,63347
100,Manhattan,Lower East Side,72957
101,Manhattan,Chelsea,47325
102,Manhattan,Clinton,45884
103,Manhattan,Hell's Kitchen,45884
104,Manhattan,Hudson Yards,70150
105,Manhattan,Midtown,104753
106,Manhattan,Gramercy Park,27988
107,Manhattan,Kips Bay,50742
108,Manhattan,Murray Hill,10864
109,Manhattan,Peter Cooper Village,21049
110,Manhattan,Stuyvesant Town,21049
111,Manhattan,Turtle Bay,24856
112,Manhattan,Upper West Side,214744
113,Manhattan,Upper East Side,124231
114,Manhattan,Yorkville,35221
115,Manhattan,Hamilton Heights,47531
116,Manhattan,Manhattanville,40568
117,Manhattan,Morningside Heights,31884
118,Manhattan,Harlem,116345
119,Manhattan,East Harlem,115921
120,Manhattan,Spanish Harlem,115921
121,Manhattan,Inwood,58946
122,Manhattan,Washington Heights,201590
123,Queens,Dutch Kills,20030
124,Queens,Long Island City,20030
125,Queens,Blissville,20030
126,Queens,Hunters Point,20030
127,Queens,Long Island City,20030
128,Queens,Sunnyside,63271
129,Queens,Sunnyside Gardens,63271
130,Queens,Woodside,45099
131,Queens,East Elmhurst,23150
132,Queens,Jackson Heights,108152
133,Queens,North Corona,109695
134,Queens,Corona,109695
135,Queens,Elmhurst,88427
136,Queens,Glendale,32496
137,Queens,Middle Village,37929
138,Queens,Liberty Park,69317
139,Queens,Ridgewood,69317
140,Queens,Forest Hills,83728
141,Queens,Rego Park,28260
142,Queens,Bay Terrace,43808
143,Queens,College Point,24069
144,Queens,Willets Point,10
145,Queens,Briarwood,53877
146,Queens,Fresh Meadows,17812
147,Queens,Holliswood,20269
148,Queens,Kew Gardens Hills,37479
149,Queens,Utopia,17812
150,Queens,Kew Gardens,23278
151,Queens,Richmond Hill,62982
152,Queens,Woodhaven,56674
153,Queens,Howard Beach,26148
154,Queens,Lindenwood,26148
155,Queens,Richmond Hill,62982
156,Queens,South Ozone Park,75878
157,Queens,Bayside,43808
158,Queens,Douglaston,17823
159,Queens,East Flushing,10000
160,Queens,Hollis Hills,52504
161,Queens,Little Neck,17823
162,Queens,Oakland Gardens,43808
163,Queens,Baisley Park,32496
164,Queens,Hollis,20269
165,Queens,South Jamaica,32496
166,Queens,Springfield Gardens,39827
167,Queens,Brookville,39827
168,Queens,Cambria Heights,18677
169,Queens,Floral Park,15863
170,Queens,Glen Oaks,29506
171,Queens,Laurelton,24453
172,Queens,Meadowmere,60
173,Queens,New Hyde Park,9712
174,Queens,Queens Village,52504
175,Queens,Rosedale,25063
176,Queens,Arverne,18540
177,Queens,Breezy Point,4079
178,Queens,Far Rockaway,60035
179,Queens,Neponsit,2000
180,Staten,New Brighton,5795
181,Staten,Port Richmond,18516
182,Staten,St. George,8662
183,Staten,Stapleton,37669
184,Staten,West Brighton,20099
185,Staten,Dongan Hills,16375
186,Staten,Midland Beach,21456
187,Staten,New Dorp,28225
188,Staten,Ocean Breeze,8575
189,Staten,South Beach,8575
190,Staten,Great Kills,40720
191,Staten,Tottenville,14945
